bereich,category,producttyp,Reuse same location,Reuse diff location,Repair same location,Repair diff location,Refurbish,Repurpose,Recycle,Redistribute,chartvalue
ATRIUM,Decke (Ceiling),Streckmetaldecke,,,0.955,2.865,5.117,7.702,,,19.1
ATRIUM,Decke (Ceiling),"Beleuchtung 
Streckmetalldecke


",,,0.755,2.265,3.025,6.065,,,15.1
ATRIUM,Boden (Flooring),Steinboden,,,,,,,,,
ATRIUM,Leuchte (Lighting),Inszenierungs-beleuchtung,,,,,,,,,
ATRIUM,Möbel (Furniture),Ledersessel,,,,,,,,,
ATRIUM,Möbel (Furniture),Ledersofa,,,,,,,,,
ATRIUM,Sonstiges (Miscellaneous),Blendschutz Atrium,,,,,,,,,
EMPORE,Decke (Ceiling),Streckmetall Empore,,,0.955,2.865,5.117,7.702,,,19.1
EMPORE,Decke (Ceiling),"Beleuchtung 
Streckmetalldecke",,,0.755,2.265,3.025,6.065,,,15.1
EMPORE,Wand (Wall),Glassystemtrennwand,0,10.1,5.05,15.15,20.279,,,,101
EMPORE,Türen (Doors),Brandschutztür weiß,0,2.42,1.21,,,,,,23.4
EMPORE,Türen (Doors),Garderobentür weiß,0,1.542,0.771,,,,,,23.4
EMPORE,Sonstiges (Miscellaneous),Brüstung Glas mit Lederarmauflage,0,,,,,,,,19.1
BÜROETAGE,Decke (Ceiling),"Deckenkoffer, hier perforierte Bleche",,,,,,,,,
BÜROETAGE,Decke (Ceiling),Lichtleiste Decken-koffer,,,,,,,,,
BÜROETAGE,Decke (Ceiling),Akustik-Deckensegel perforiert,,,0.955,2.865,5.117,7.702,,,19.1
BÜROETAGE,Decke (Ceiling),"Beleuchtung 
Deckensegel",,,0.755,2.265,3.025,,,,15.1
BÜROETAGE,Wand (Wall),Gipskartonwände,,,,,,,,,
BÜROETAGE,Wand (Wall),Glastür zu den Büros,0,10.1,5.05,15.15,,,,,101
BÜROETAGE,Türen (Doors),Holztür weiß HPL,0,2.34,1.17,3.51,,,,,23.4
BÜROETAGE,Türen (Doors),Brandschutztür grau Flur,0,2.34,,,,,,,23.4
BÜROETAGE,Türen (Doors),"Brandschutztür 
Aufzugsfvorraum schwarz",0,2.42,,,,,,,23.4
BÜROETAGE,Türen (Doors),Bandschutztür schwarz ,0,2.34,,,,,,,23.4
BÜROETAGE,Türen (Doors),"Brandschutztür zwei-
fluglig schwarz",0,2.34,,,,,,,23.4
BÜROETAGE,Sonstiges (Miscellaneous),"Bedienpanel 
Einzelbüros",,,,,,,,,
BÜROETAGE,Wand (Wall),System-Vollwand,0,6.168,5.05,15.15,,,,,101
BÜROETAGE,Wand (Wall),Glassystemwand,0,10.1,3.084,9.252,18.439,,,,101
BÜROETAGE,Boden (Flooring),"Hohlboden mit ein-
reihiger Doppleboden-
trasse",0,,0.63,,,3.78,,,12.6
BÜROETAGE,Boden (Flooring),Bodenauslass Kabel,,,,,,,,,
BÜROETAGE,Möbel (Furniture),Schreibtisch,,,,,,,,,
BÜROETAGE,Möbel (Furniture),"Container 
Schreibtisch",,,,,,,,,
BÜROETAGE,Wand (Wall),Einbauregalwände,,,,,,,,,
BÜROETAGE,Möbel (Furniture),Kastenmöbel,,,,,,,,,
KANTINE,Wand (Wall),"Glaswand 
Kunstwerk",,,,,,,,,
KANTINE,Decke (Ceiling),Textile Deckenpanele,,,,,,,,,
KANTINE,Möbel (Furniture),Bestuhlung,,,,,,,,,
KANTINE,Möbel (Furniture),Tisch,,,,,,,,,
KANTINE,Boden (Flooring),Holzboden,,,,,,,,,
